KUNDENR;CVRNR;KUNDETYPE;REGION;BUTIKSNAVN;KUNDENAVN;ADRESSE;LAND;POSTNR;BYNAVN;TLFNR;EDINR;EMAIL
050861-4;31858305;12;8;SPAR LEM;SPAR LEM APS.V P. ANDERSEN;VESTERBROGADE 1 - LEM;DK;7860;SPØTTRUP;97568003;5790000269518;0508614@SPAR.DK
050519-8;34707677;12;4;EUROSPAR GUG;CLKJ HANDEL APS;NØHR SØRENSENSVEJ 1 A;DK;9210;AALBORG SØ;98145429;5790000269662;0505198@SPAR.DK
037737-4;28703686;12;4;EUROSPAR FREDERIKSVÆRK;EURO SPAR FR.VÆRK APS.;ELLEVEJ 34;DK;3300;FREDERIKSVÆRK;47721842;5790000269679;0377374@SPAR.DK
076083-5;27136370;12;2;MIN KØBMAND HJORTSHØJ;NIELS SCHJELDAHL;HJORTSHØJ STATIONSVEJ 8;DK;8530;HJORTSHØJ;86220019;5790000269693;0760835@MINKOBMAND.DK
050021-5;34708622;12;4;EUROSPAR SØHUS APS.;EUROSPAR SØHUS APS.;RULLEKROVEJ 4, SØHUS;DK;5270;ODENSE N;66188522;5790000269716;0500215@SPAR.DK
071565-6;30330293;12;2;MIN KØBMAND ØRDING;CHARLOTTE PIPPER;SKOLESVINGET 18, ØRDING;DK;7990;ØSTER ASSELS;97766012;5790000269761;0715656@MINKOBMAND.DK
050216-1;27457169;12;2;MIN KØBMAND KOLLEMORTEN;BO  THEM JENSEN;BANEVÆNGET 7, KOLLEMORTEN;DK;7323;GIVE;75803204;5790000269884;0502161@MINKOBMAND.DK
050029-8;34093067;12;8;SPAR MIDDELFART;KØBMANDSGAARDEN MIDDELFART APS;ASSENSVEJ 141;DK;5500;MIDDELFART;64413306;5790000269907;0500298@SPAR.DK
050623-8;67241215;12;8;SPAR STOHOLM;SPAR DANMARK A/S.;VESTERGADE 31;DK;7850;STOHOLM JYLL;97541005;5790000269914;0506238@SPAR.DK
037528-7;34323089;12;8;SPAR KASTRUP;SPAR KASTRUP I/S;KONGELUNDSVEJ 299;DK;2770;KASTRUP;32507400;5790000269952;0375287@SPAR.DK
076047-0;25302583;12;2;MIN KØBMAND DURUP;INGA POULSEN;HOVEDGADEN 15, DURUP;DK;7870;ROSLEV;97592013;5790000270088;0760470@MINKOBMAND.DK
051995-9;35031650;12;2;MIN KØBMAND BYLDERUP-BOV;MARGIT SPAR APS;BYGADEN 3;DK;6372;BYLDERUP-BOV;74762210;5790000270354;0519959@MINKOBMAND.DK
053288-7;80747616;12;4;EUROSPAR KLARUP;E. S. KØBMANDSMARKED APS;KLARUPVEJ 52;DK;9270;KLARUP;98318021;5790000270361;0532887@SPAR.DK
053289-5;26987687;12;4;EUROSPAR HJALLERUP;EUROSPAR HJALLERUP A/S;HJALLERUP BUTIKSCENTER 7;DK;9320;HJALLERUP;98283300;5790000270378;0532895@SPAR.DK
053290-3;26987687;12;4;EUROSPAR DRONNINGLUND;EUROSPAR DRONNINGLUND A/S;STATIONSVEJ 2;DK;9330;DRONNINGLUND;98843132;5790000270385;0532903@SPAR.DK
053291-1;77041710;12;4;EUROSPAR SKØRPING;RASK EUROSPAR SKØRPING/N. RASK;SKØRPING CENTRET 14;DK;9520;SKØRPING;98391053;5790000270392;0532911@SPAR.DK
053292-9;32013902;12;4;EUROSPAR FJERRITSLEV;EUROSPAR FJERRITSLEV/B.NIELSEN;SØGADE 10;DK;9690;FJERRITSLEV;98213211;5790000270408;0532929@SPAR.DK
053293-7;26089115;12;3;EUROSPAR FREDERIKSHAVN;DREISLER STORKØB A/S;GL. SKAGENSVEJ 85;DK;9900;FREDERIKSHAVN;99340200;5790000270415;0532937.HQ@SPAR.DK
076025-6;51658817;12;8;SPAR KARBY;HVIDBJERG KØBMANDSGAARD A/S;NÆSSUNDVEJ 358;DK;7960;KARBY;97762322;5790000270453;0760256@SPAR.DK
053294-5;26089115;12;3;EUROSPAR AALBORG;DREISLER STORKØB A/S;J.F. KENNEDYS PLADS;DK;9000;AALBORG;99340400;5790000270477;0532945.HQ@SPAR.DK
053295-2;20941405;12;4;EUROSPAR KASTETVEJ ÅLBORG;VESTPARKENS SUPERMARKED A/S;KASTETVEJ 101;DK;9000;AALBORG;98161800;5790000270484;0532952@SPAR.DK
053296-0;30079051;12;4;EUROSPAR FREDERIKSHAVN;SUPERBEST FREDERIKSHAVN A/S;LÆSØGADE 16;DK;9900;FREDERIKSHAVN;98423686;5790000270507;0532960@SPAR.DK
053297-8;26089115;12;3;EUROSPAR NØRRESUNDBY;DREISLER STORKØB A/S;LØVBAKKEN 4;DK;9400;NØRRESUNDBY;99340500;5790000270521;0532978.HQ@SPAR.DK
053299-4;26089115;12;3;EUROSPAR AALBORG ØST;DREISLER STORKØB A/S;TORNHØJVEJ 4;DK;9220;AALBORG ØST;99340600;5790000270569;0532994@SPAR.DK
037613-7;26214017;12;4;EUROSPAR  RØNNE;SUPERBEST RØNNE APS.;GARTNERVANGEN 10;DK;3700;RØNNE;56952985;5790000270583;0376137@SPAR.DK
037612-9;26214017;12;4;EUROSPAR ST. TORV RØNNE;SUPERBEST RØNNE APS.;STORE TORV 11;DK;3700;RØNNE;56954900;5790000270590;0376129@SPAR.DK
050034-8;14348204;12;4;EUROSPAR BOGENSE;LP SUPERBEST APS.;VESTRE ENGVEJ 2;DK;5400;BOGENSE;64812145;5790000270606;0500348@SPAR.DK
050036-3;63206717;12;4;EUROSPAR OTTERUP;F.BAGGER-JØRGENSEN SUPERMARKED;STRANDVEJEN 1;DK;5450;OTTERUP;64821138;5790000270620;0500363@SPAR.DK
050037-1;49858817;12;4;EUROSPAR ODENSE NV;KURT L HANSEN A/S;RUGGARDSVEJ 211;DK;5210;ODENSE NV;66165359;5790000270644;0500371@SPAR.DK
050038-9;26089115;12;3;EUROSPAR TØNDER;DREISLER STORKØB A/S;KONGEVEJ 5;DK;6270;TØNDER;73334430;5790000270651;0500389.HQ@SPAR.DK
050041-3;12585896;12;4;EUROSPAR AARUP;KRAG OG KARTMAN. ÅRUP APS.;BREDGADE 44-46;DK;5560;AARUP;64431259;5790000270712;0500413@SPAR.DK
037631-9;26089115;12;3;EUROSPAR FAXE LADEPLADS;DREISLER STORKØB A/S;POSTVEJ  2;DK;4654;FAKSE LADEPLADS;56716003;5790000270729;0376319.HQ@SPAR.DK
037632-7;26089115;12;9;SPAR STEGE;DREISLER STORKØB A/S;KATEDRALVEJ  26;DK;4780;STEGE;55818122;5790000270750;0376327@SPAR.DK
037589-9;26089115;12;3;EUROSPAR ST. HEDDINGE;DREISLER STORKØB A/S;ØSTERGADE 7;DK;4660;STORE HEDDINGE;56503400;5790000270774;0375899.HQ@SPAR.DK
076106-4;20568070;12;2;MIN KØBMAND HARRE;HARRE KØBMAND APS;SALLINGSUNDVEJ 122, HARRE;DK;7870;ROSLEV;97572240;5790000270798;0761064@MINKOBMAND.DK
076518-0;24253880;12;6;KWIK SPAR FABJERG;FABJERG BRUGSFORENING A.M.B.A.;FABJERGSTAD 52, FABJERG;DK;7620;LEMVIG;97893007;5790000270804;fabjerg@spar.dk
037595-6;54800517;12;4;EUROSPAR TIKØB;TIKØB OG OMEGNS BRUGSFORENING;FREDENSBORGVEJ 10;DK;3080;TIKØB;49758069;5790000270811;0375956@SPAR.DK
037611-1;26740940;12;4;EUROSPAR NYK. FALSTER;SUPERBEST NYKØBING F. APS.;TOLDBODGADE 2;DK;4800;NYKØBING F;54858100;5790000270828;0376111@SPAR.DK
037593-1;26089115;12;3;EUROSPAR RØNNEDE;DREISLER STORKØB A/S;VORDINGBORGVEJ 517;DK;4683;RØNNEDE;56712424;5790000270835;0375931.HQ@SPAR.DK
037610-3;26069963;12;4;EUROSPAR NIVÅ;NIVÅ SUPERBEST V/BO GOTFREDSEN;NIVÅ CENTER 89;DK;2990;NIVÅ;49145120;5790000270842;0376103@SPAR.DK
037592-3;26089115;12;3;EUROSPAR RINGSTEDGADE.;DREISLER STORKØB A/S;RINGSTEDGADE 24-26;DK;4700;NÆSTVED;55731300;5790000270873;0375923.HQ@SPAR.DK
037591-5;26089115;12;3;EUROSPAR NÆSTVED;DREISLER STORKØB A/S;SCT. JØRGENS PARK 34;DK;4700;NÆSTVED;55725511;5790000270880;0375915.HQ@SPAR.DK
037606-1;26642671;12;4;EUROSPAR RØRVIG;KURT FOGED NIELSEN APS.;SMEDESTRÆDE 9;DK;4581;RØRVIG;59918011;5790000270897;0376061@SPAR.DK
037605-3;74538916;12;4;EUROSPAR BRØNSHØJ;KØBM. BENT M. KRISTENSEN APS.;RUTEN 14;DK;2700;BRØNSHØJ;38603015;5790000270910;0376053@SPAR.DK
037604-6;26126541;12;4;EUROSPAR VALBY;PETER SICK APS.;SDR. FASANVEJ 92;DK;2500;VALBY;36130060;5790000270927;0376046@SPAR.DK
037603-8;17933035;12;4;EUROSPAR NYKØBING SJ.;TANGE SUPERMARKED APS.;ALGADE 70;DK;4500;NYKØBING SJ;59911103;5790000270934;0376038@SPAR.DK
037602-0;30696336;12;4;EUROSPAR HOLBÆK;BJERGMARKENS SUPERMARKED APS.;ANDERS LARSENSVEJ 38;DK;4300;HOLBÆK;59434116;5790000270958;0376020@SPAR.DK
037590-7;20316144;12;3;EUROSPAR HILLERØD;SUPERBEST HILLERØD I/S;CENTERVÆNGET 9-17 EGEDAMSCENTE;DK;3400;HILLERØD;48241770;5790000270965;0375907.HQ@SPAR.DK
037601-2;30724119;12;4;EUROSPAR BALLERUP;JA  A/S;CENTRUMGADEN 3;DK;2750;BALLERUP;44207777;5790000270972;0376012@SPAR.DK
037600-4;11372449;12;4;EUROSPAR KBH.NV;RINGGAARD SUPERMARKED A/S;FREDERIKSBORGVEJ 86;DK;2400;KØBENHAVN NV;35813304;5790000270989;0376004@SPAR.DK
037599-8;67055519;12;4;EUROSPAR JYDERUP;KBM. E. NIELSEN KALUNDBORG A/S;HOLBÆKVEJ 100;DK;4450;JYDERUP;59258080;5790000271047;0375998@SPAR.DK
037598-0;27271588;12;4;EUROSPAR BORUP;EUROSPAR  BORUP APS.;HOVEDGADEN 12;DK;4140;BORUP;57527348;5790000271061;0375980@SPAR.DK
076137-9;74734316;12;6;KWIK SPAR RAMME;ANNI HOLMGAARD;STRØGGADE 53, RAMME;DK;7620;LEMVIG;97889294;5790000271078;ramme@spar.dk
037597-2;73250315;12;4;EUROSPAR GRÆSTED;GRÆSTED SUPERMARKED APS.;HOVEDGADEN 25;DK;3230;GRÆSTED;48391040;5790000271092;0375972@SPAR.DK
037596-4;31194865;12;4;EUROSPAR KGS. LYNGBY;SUPERBEST LYNGBY I/S;LYNGBYGÅRDSVEJ 141;DK;2800;KONGENS LYNGBY;45871995;5790000271108;0375964@SPAR.DK
053304-2;26089115;12;3;EUROSPAR TRANEKÆRCENTER;DREISLER STORKØB A/S;HOBROVEJ 134;DK;8920;RANDERS NV;86431322;5790000271115;0533042.HQ@SPAR.DK
053301-8;16095494;12;4;EUROSPAR BJERRINGBRO;KØBM. ARNE NIELSEN APS.;TORVEGADE 5;DK;8850;BJERRINGBRO;86684155;5790000271122;0533018@SPAR.DK
053302-6;39025310;12;4;EUROSPAR LÅSBY;BRUGSEN LÅSBY;HOVEDGADEN 11-13;DK;8670;LÅSBY;86951011;5790000271139;0533026@SPAR.DK
050303-7;26089115;12;3;EUROSPAR SKANDERBORG;DREISLER STORKØB A/S;HØJVANG CENTRET 4;DK;8660;SKANDERBORG;87934210;5790000271146;0503037.HQ@SPAR.DK
053311-7;73222710;12;4;EUROSPAR SILKEBORG;STORKØB SILKEBORG APS.;BORGERGADE 71;DK;8600;SILKEBORG;86810222;5790000271160;0533117@SPAR.DK
053310-9;27819168;12;4;EUROSPAR HARLEV J;EUROSPAR HARLEV;GAMMEL STILLINGVEJ 431;DK;8462;HARLEV J;86941600;5790000271177;0533109@SPAR.DK
053309-1;26089115;12;3;EUROSPAR HAMMEL;DREISLER STORKØB A/S;ØSTERGADE 20;DK;8450;HAMMEL;86965611;5790000271184;0533091.HQ@SPAR.DK
053308-3;26089115;12;3;EUROSPAR RISSKOV;DREISLER STORKØB A/S;TORNEBAKKEN 1;DK;8240;RISSKOV;86219600;5790000271207;0533083.HQ@SPAR.DK
053307-5;27430058;12;4;EUROSPAR VILDBJERG;EUROSPAR VILDBJERG APS.;BREDGADE 14;DK;7480;VILDBJERG;97131058;5790000271214;0533075@SPAR.DK
053305-9;17010190;12;4;EUROSPAR HENNE;NIELS KR. HANSEN HENNE STR.A/S;STRANDVEJEN 425;DK;6854;HENNE;76524343;5790000271245;0533059@SPAR.DK
076109-8;19739082;12;6;KWIK SPAR BLANS;OLE PRINDS;SKOLETOFTEN 1, BLANS;DK;6400;SØNDERBORG;74461419;5790000271252;blans@spar.dk
076102-3;26242665;12;6;KWIK SPAR VEDSTED;INGA SKOV;TØNDERVEJ 36, VEDSTED;DK;6500;VOJENS;74545333;5790000271269;vedsted@spar.dk
076138-7;25869540;12;6;KWIK SPAR SERRITSLEV;EVA CHRISTENSEN;SYRENVEJ 15, SERRITSLEV;DK;9700;BRØNDERSLEV;98837060;5790000271276;serritslev@spar.dk
037609-5;67055519;12;4;EUROSPAR KALUNDBORG;KBM. E.NIELSEN KALUNDBORG A/S;NØRRE ALLE 133;DK;4400;KALUNDBORG;59550590;5790000271283;0376095@SPAR.DK
072001-1;18726394;12;2;MIN KØBMAND SKANSEVEJ;AMIR ARABI;SKANSEVEJ 42;DK;9400;NØRRESUNDBY;98172700;5790000606429;0720011@MINKOBMAND.DK
050926-5;28459521;12;2;MIN KØBMAND VONGE;HELLE LANGE;BYGADE 83;DK;7173;VONGE;75803600;5790000606467;0509265@MINKOBMAND.DK
050949-7;27457169;12;8;SPAR GIVSKUD;BO THEM JENSEN;VEJLEVEJ 70,GIVSKUD;DK;7323;GIVE;75730018;5790000606481;0509497@SPAR.DK
200116-2;25099567;12;8;SPAR LØKKEN;KK LØKKEN R. ANDERSEN A/S;TOLDBODVEJ 9;DK;9480;LØKKEN;98992955;5790000606573;2001162@SPAR.DK
076178-3;29838704;12;8;SPAR VADUM;SPAR VADUM A/S;ELLERHAMMERSVEJ  54;DK;9430;VADUM;98271120;5790000606627;0761783@SPAR.DK
041191-8;25208811;12;2;MIN KØBMAND SØBORG;TORBEN HANSEN;SOLNAVEJ 71;DK;2860;SØBORG;39690285;5790000606733;0411918@MINKOBMAND.DK
041673-5;31471915;12;4;EUROSPAR FARUM;SUPER SPAR FARUM APS.;FARUM HOVEDGADE 48;DK;3520;FARUM;44950094;5790000607013;farum@spar.dk
012347-1;28124783;12;2;MIN KØBMAND BALLERUP;MEHA SPAR APS V/HAKAN UCLER;GRANTOFTESTRÆDE 11;DK;2750;BALLERUP;44979148;5790000607099;0123471@MINKOBMAND.DK
104645-7;11537898;12;2;MIN KØBMAND ROSKILDE;HENRIK SIVERTSEN SUPERM. APS;KONGEBAKKEN 5;DK;4000;ROSKILDE;46354910;5790000607129;1046457@MINKOBMAND.DK
201613-7;20809701;12;2;MIN KØBMAND ELLING;PEDER PEDERSEN;GRUNDTVIGSVEJ 7, ELLING;DK;9900;FREDERIKSHAVN;98481078;5790000607693;2016137@MINKOBMAND.DK
072159-7;18839237;12;8;SPAR HOLSTEBRO;NIELS PETER SKRÆDDERGÅRD;STRUERVEJ 63-65;DK;7500;HOLSTEBRO;97425864;5790000607754;0721597@SPAR.DK
012348-9;20621508;12;8;SPAR VINDINGE;MICHAEL MØLLER JØRGENSEN;TINGVEJ 14, VINDINGE;DK;4000;ROSKILDE;46357022;5790000607761;0123489@SPAR.DK
037720-0;30138325;12;2;MIN KØBMAND BORRE;CLAUS FRYDLUND JENSEN;THYRAVEJ 6;DK;4791;BORRE;55819109;5790000607808;0377200@MINKOBMAND.DK
051469-5;31889898;12;2;MIN KØBMAND ØSTBIRK;KØBMANDSGÅRDEN ØSTBIRK APS;STOREGADE 17;DK;8752;ØSTBIRK;75781092;5790000607884;0514695@MINKOBMAND.DK
072118-3;30635957;12;8;SPAR BYLDERUP-BOV;PER AHRENSBERG;BYLDERUP KIRKEVEJ 2;DK;6372;BYLDERUP-BOV;74762328;5790000607891;0721183@SPAR.DK
053312-5;46038819;12;4;EUROSPAR LØGTEN;CARLSEN SUPERMARKED LØGTEN A/S;GRENÅVEJ 752;DK;8541;SKØDSTRUP;86991288;5790000607945;0533125@SPAR.DK
050043-9;12533543;12;4;EUROSPAR SULDRUP;FINN DEGN OVESEN;HJEDSBÆKVEJ 349;DK;9541;SULDRUP;98379000;5790000608089;0500439@SPAR.DK
200913-2;21762938;12;4;EUROSPAR HORNE;CARSTEN BØGEDAL JØRGENSEN;HORNE LANDEVEJ 25A,HORNE;DK;5600;FAABORG;62601037;5790000608096;horne@spar.dk
050044-7;12533543;12;4;EUROSPAR NØRAGER;FINN DEGN OVESEN;JERBANEGADE 4;DK;9610;NØRAGER;98551006;5790000608133;0500447@SPAR.DK
031065-6;33366493;12;4;EUROSPAR  VEJBY;EUROSPAR VEJBY APS.;VEJBY STRANDVEJ 7;DK;3210;VEJBY;48706260;5790000608195;0310656@SPAR.DK
050045-4;28031483;12;4;EUROSPAR EJSTRUPHOLM;RENE ANDERSEN;SØNDERGADE 33;DK;7361;EJSTRUPHOLM;75772015;5790000608232;0500454@SPAR.DK
037633-5;35040897;12;4;EUROSPAR HØNG;FJ HØNG APS.;HOVEDGADEN 50;DK;4270;HØNG;58841919;5790000608256;0376335@SPAR.DK
041548-9;78895918;12;6;KWIK SPAR ØSTER ULSLEV;KØBMANDSGÅRDEN;KARLEBYVEJ 1;DK;4894;ØSTER ULSLEV;54865702;5790000608355;HENRIETTEHENNINGSEN@GMAIL.COM
053313-3;35054561;12;4;EUROSPAR SKAGEN;SPAR SKAGA A/S;SKAGAVEJ 104;DK;9990;SKAGEN;98441840;5790000608379;0533133@SPAR.DK
031066-4;33285965;12;4;EUROSPAR NYKØBING F;EBBE JØRGENSEN;PARKVEJ 78;DK;4800;NYKØBING F;54853565;5790000608423;0310664@SPAR.DK
050049-6;35231625;12;4;EUROSPAR HADSUND;KØBMANDEN HADSUND APS;BUTIKSTORVET 11;DK;9560;HADSUND;98571161;5790000661244;0500496@SPAR.DK
030174-7;35240039;12;8;SPAR HERLEV;SPAR HERLEV APS.;PERSILLEHAVEN 111;DK;2730;HERLEV;44940931;5790000661367;0301747@SPAR.DK
050053-8;35379479;12;6;KWIK SPAR JUNGET;JUNGET NY KØBMAND APS;FJORDVEJ 102, JUNGET;DK;7870;ROSLEV;97597722;5790000661633;0500538@SPAR.DK
050048-8;35069631;12;8;SPAR AGERBÆK;SPAR AGERBÆK I/S;NØRREGADE 9;DK;6753;AGERBÆK;75196677;5790000661763;0500488@SPAR.DK
050055-3;35389237;12;4;EUROSPAR BRANDE;EUROSPAR BRANDE APS;STOREGADE 9;DK;7330;BRANDE;97180061;5790000661831;0500553@SPAR.DK
050056-1;35402519;12;2;MIN KØBMAND KROAGER;KØBMANDEN I KROAGER APS.;STOREGADE 2 -  KROAGER;DK;7200;GRINDSTED;20306006;5790000661923;0500561@MINKOBMAND.DK
050057-9;35406158;12;2;MIN KØBMAND KØLKÆR;VORES KØBMAND KØLKÆR APS.;KØLKÆR HOVEDGADE 45 -  KØLKÆR;DK;7400;HERNING;72148579;5790000661947;0500579@MINKOBMAND.DK
050058-7;37420514;12;4;EUROSPAR SKALS;J.P.LUND KØBMANDSFOR. A/S;HOVEDGADEN 25;DK;8832;SKALS;86694322;5790000661954;0500587@SPAR.DK
050059-5;28509499;12;4;EUROSPAR KOLDBY;JARA SNEDSTED-KOLDBY APS.;LIMFJORDSGADE 15 - KOLDBY;DK;7752;SNEDSTED;97936155;5790000661992;0500595@SPAR.DK
050060-3;28509499;12;4;EUROSPAR SNEDSTED;JARA SNEDSTED-KOLDBY APS.;BANEGÅRDSVEJ 3;DK;7752;SNEDSTED;97934004;5790000662005;0500603@SPAR.DK
031074-8;55078319;12;4;EUROSPAR KARSEMOSE;K.BAHR KØBM.GÅRD KARSEMOSE APS;HELSINGEVEJ 155 - KARSEMOSE;DK;3300;FREDERIKSVÆRK;47747243;5790000662012;0310748@SPAR.DK
050061-1;20031697;12;2;MIN KØBMAND SKOVPARKEN;SPAR SKOVPARKEN APS;HAREVÆNGET 2 - SKOVPARKEN;DK;5800;NYBORG;20821800;5790000662357;0500611@MINKOBMAND.DK
030177-0;34938199;12;4;EUROSPAR MARIBO;ANDERS JUUL JAKOBSEN;BROVEJEN 19;DK;4930;MARIBO;54783222;5790000662371;0301770@SPAR.DK
050865-5;35479406;12;4;EUROSPAR ÅRSLEV;E. CHRISTENSEN SUPERMARKED APS;STATIONSVEJ 124, SDR. NÆRÅ;DK;5792;ÅRSLEV;65991251;5790000662500;0508655@SPAR.DK
050062-9;35288759;12;2;MIN KØBMAND SKANDERBORG;HANS ERIK ESKILDSEN;VROLDVEJ 92;DK;8660;SKANDERBORG;86521930;5790000662562;0500629@MINKOBMAND.DK
050064-5;35347178;12;4;EUROSPAR HJØRRING;DENNIS BAK;NORDENS ALLE 14;DK;9800;HJØRRING;98920076;5790000662654;0500645@SPAR.DK
050067-8;99999999;12;2;MIN KØBMAND HURUP THY;TINA THOUSGAARD WULLUM;BREDGADE 166;DK;7760;HURUP THY;97951280;5790000662708;0500678@MINKOBMAND.DK
037807-5;74759815;12;2;MIN KØBMAND GILLELEJE;KURT ERIK SKOUBJERG ANDERSEN;GILLELEJE HOVEDGADE 14;DK;3250;GILLELEJE;48300001;5790000662753;0378075@MINKOBMAND.DK
050069-4;25525388;12;6;KWIK SPAR FJALTRING;FJALTRING KØBMANDSGÅRD APS;VESTERMØLLEVEJ 15, FJALTRING;DK;7620;LEMVIG;97887002;5790000662913;0500694@SPAR.DK
072075-5;54461712;12;2;MIN KØBMAND SKARRILD;EVA STAUN ANDERSEN;HOVEDGADEN 47 SKARRILD;DK;6933;KIBÆK;97196005;5790000697922;0720755@MINKOBMAND.DK
072092-0;10596173;12;2;MIN KØBMAND NR. VORUPØR;KIM POULSEN;VESTERHAVSGADE 103, NR.VORUPØR;DK;7700;THISTED;97938700;5790000707966;0720920@MINKOBMAND.DK
072095-3;20774045;12;2;MIN KØBMAND VESTERVIG;ROTSUKHON & DIETHER BORCHERT;KLOSTERGADE 33;DK;7770;VESTERVIG;97941020;5790000708161;0720953@MINKOBMAND.DK
072093-8;31492505;12;8;SPAR SJØRRING;HH SJØRRING APS H.POULSEN;VORUPØRVEJ 48 SJØRRING;DK;7700;THISTED;97971034;5790000708383;0720938@SPAR.DK
072094-6;31424488;12;8;SPAR HANSTHOLM;SMPM APS;KAJ LINDBERGSGADE 75;DK;7730;HANSTHOLM;97962788;5790000708529;0720946@SPAR.DK
072091-2;63240311;12;2;MIN KØBMAND ØSTERILD;LEIF G. LARSEN;ØSTERILD BYVEJ 79, ØSTERILD;DK;7700;THISTED;97997004;5790000708574;0720912@MINKOBMAND.DK
201226-8;25467612;12;2;MIN KØBMAND MARSTAL;BETINA LOHMANN;VESTERGADE 30 C;DK;5960;MARSTAL;62531566;5790000708581;2012268@MINKOBMAND.DK
072090-4;27683851;12;8;SPAR NORS;CARSTEN DALGAARD;SKELLET 2, NORS;DK;7700;THISTED;97981050;5790000708598;0720904@SPAR.DK
072044-1;16086533;12;2;MIN KØBMAND ÅBYEN;BENT LARSEN;ALLINGDAMVEJ 1, ÅBYEN;DK;9850;HIRTSHALS;98949008;5790000708635;0720441@MINKOBMAND.DK
201227-6;29626022;12;2;MIN KØBMAND VEGGER;LARS LORENTZEN;ÅGADE 32, VEGGER;DK;9240;NIBE;98666038;5790000708758;2012276@MINKOBMAND.DK
072100-1;29927170;12;2;MIN KØBMAND TULIPANVEJ;VASEGAARD APS;TULIPANVEJ 14;DK;8800;VIBORG;86623150;5790000709007;0721001@MINKOBMAND.DK
042044-8;26134145;12;8;SPAR HORBELEV;JOACHIM HANSEN;GRØNSUNDSVEJ 353;DK;4871;HORBELEV;54445037;5790000709014;0420448@SPAR.DK
072060-7;16212970;12;8;SPAR GØRDING;SPAR GØRDING APS /EJVIND KRUSE;NØRREGADE 1;DK;6690;GØRDING;75178005;5790000709045;0720607@SPAR.DK
072063-1;78860014;12;2;MIN KØBMAND SØSTJERNEN;FREDDY NIELSEN;NORDDALSVEJ 58;DK;6710;ESBJERG V;75153701;5790000709090;0720631@MINKOBMAND.DK
072206-6;79336718;12;2;MIN KØBMAND BRÅSKOV;ERIK YDING;BRÅSKOVVEJ 31;DK;8783;HORNSYLD;75687003;5790000709175;0722066@MINKOBMAND.DK
050848-1;31403774;12;2;MIN KØBMAND LAURBJERG;SPAR I/S V M.HELBOE&T.NYMARK;KIRKEVEJ 1;DK;8870;LANGÅ;86468053;5790000709366;0508481@MINKOBMAND.DK
050944-8;30474392;12;6;KWIK SPAR HØJBJERG;NASEER AHMAD;POTTEMAGERTOFTEN 2;DK;8270;HØJBJERG;86293000;5790000709465;HOJBJERG@SPAR.DK
072157-1;16297135;12;2;MIN KØBMAND NIM;EJLER EHLERSEN;HOVEDGADEN 14 - NIM;DK;8740;BRÆDSTRUP;75671001;5790000709540;0721571@MINKOBMAND.DK
072077-1;37553514;12;2;MIN KØBMAND VELLING;VELLING ANDELSBUTIK;RYDBJERGVEJ 2 VELLING;DK;6950;RINGKØBING;97321521;5790000709564;0720771@MINKOBMAND.DK
072035-9;14141448;12;2;MIN KØBMAND BJERREGRAV;HILMAR KRISTENSEN;GL.ÅLBORGVEJ 16;DK;9632;MØLDRUP;86691329;5790000709670;0720359@MINKOBMAND.DK
072034-2;18332604;12;2;MIN KØBMAND MØLDRUP;PIA AMBROSIUS ANDREASEN;SØNDERGADE 2;DK;9632;MØLDRUP;86691005;5790000709687;0720342@MINKOBMAND.DK
072030-0;26803144;12;8;SPAR HOBRO;TORBEN B PETERSEN;LØGSTØRVEJ 3;DK;9500;HOBRO;98524377;5790000709762;0720300@SPAR.DK
042036-4;27675239;12;2;MIN KØBMAND MENSTRUP;HEIDI THYBO MØRKEBERG;MENSTRUP BYGADE 33;DK;4700;NÆSTVED;55443005;5790000709830;0420364@MINKOBMAND.DK
072074-8;13283591;12;2;MIN KØBMAND TROLHEDE;JENS JØRGEN JOHNSEN;DALGASGADE 11 TROLDHEDE;DK;6920;VIDEBÆK;97194022;5790000709977;0720748@MINKOBMAND.DK
051981-9;29634440;12;4;EUROSPAR GJELLERUP;SS GJELLERUP APS;PRÆSTEHAVEN 22, GJELLERUP;DK;7400;HERNING;97116517;5790000710881;gjellerup@spar.dk
037749-9;30657918;12;2;MIN KØBMAND NÆSBY STRAND;MICHELLA NIELSEN;BILDSØVEJ 157 NÆSBY,V.STRANDEN;DK;4200;SLAGELSE;58549035;5790000710911;0377499@MINKOBMAND.DK
200825-8;30711858;12;8;SPAR EGEPARKEN;SPAR EGEPARKEN APS;EGEPARKEN 2;DK;8600;SILKEBORG;86824884;5790000824175;2008258@SPAR.DK
201809-1;25464915;12;2;MIN KØBMAND SILKEBORG;NETE & JESPER N.RASMUSSEN;LYNGBYGADE 108;DK;8600;SILKEBORG;86801340;5790000824182;2018091@MINKOBMAND.DK
051982-7;26298326;12;2;MIN KØBMAND GRENÅ;LONE  SCHMIDT;FUGLEVÆNGET 39;DK;8500;GRENAA;86322044;5790000824236;0519827@MINKOBMAND.DK
050845-7;31061067;12;2;MIN KØBMAND HODSAGER;HODSAGER KØBMANDSFORR. AMBA;HOVEDGADEN 31,HODSAGER;DK;7490;AULUM;97476020;5790000824243;0508457@MINKOBMAND.DK
200826-6;26677688;12;2;MIN KØBMAND HERNING;SPAR GL.LANDEVEJ HERNING APS;GL. LANDEVEJ 153;DK;7400;HERNING;97122211;5790000824304;2008266@MINKOBMAND.DK
